timestamp,open,high,low,close,volume
2025-01-17 19:55:00,224.5122,224.98,224.5122,224.9778,11
2025-01-17 19:50:00,224.99,224.99,224.94,224.94,5
2025-01-17 19:40:00,224.74,224.8,224.74,224.8,17
2025-01-17 19:35:00,224.99,224.99,224.74,224.74,13
2025-01-17 19:30:00,224.9899,224.9899,224.9899,224.9899,100
2025-01-17 19:25:00,224.79,224.79,224.79,224.79,17800
2025-01-17 19:20:00,224.79,224.79,224.79,224.79,7100
2025-01-17 19:05:00,224.99,224.99,224.99,224.99,1
2025-01-17 19:00:00,224.79,224.79,224.79,224.79,1530798
2025-01-17 18:45:00,224.98,224.98,224.9778,224.9778,43
2025-01-17 18:40:00,224.7,224.7,224.7,224.7,12
2025-01-17 18:30:00,224.79,224.79,224.79,224.79,1530798
2025-01-17 18:25:00,224.8,224.8,224.79,224.79,6
2025-01-17 18:20:00,224.8,224.99,224.8,224.99,4
2025-01-17 18:15:00,224.5,224.5,224.5,224.5,2
2025-01-17 18:10:00,224.9778,224.9778,224.9778,224.9778,1
2025-01-17 18:05:00,224.5,224.99,224.5,224.94,13
2025-01-17 18:00:00,224.81,224.81,224.81,224.81,5
2025-01-17 17:55:00,224.99,224.99,224.99,224.99,3
2025-01-17 17:50:00,224.87,224.93,224.87,224.93,15
2025-01-17 17:40:00,224.81,224.93,224.5122,224.93,5
2025-01-17 17:30:00,224.93,224.93,224.93,224.93,2
2025-01-17 17:25:00,224.54,224.99,224.54,224.99,3
2025-01-17 17:20:00,224.55,224.55,224.54,224.54,5
2025-01-17 17:15:00,224.56,224.56,224.53,224.53,2
2025-01-17 17:05:00,224.99,225.0,224.53,225.0,40
2025-01-17 17:00:00,224.53,224.53,224.53,224.53,1
2025-01-17 16:55:00,224.79,224.9835,224.79,224.9,18
2025-01-17 16:50:00,224.34,224.79,224.34,224.79,192
2025-01-17 16:45:00,224.53,224.9835,224.34,224.34,21
2025-01-17 16:40:00,224.7,225.0,224.7,224.7,475
2025-01-17 16:35:00,224.3,225.0,224.3,224.3175,12
2025-01-17 16:30:00,224.53,224.65,224.3,224.64,14
2025-01-17 16:25:00,224.79,224.79,224.79,224.79,1078
2025-01-17 16:20:00,224.79,224.79,224.2,224.2,8967
2025-01-17 16:15:00,224.79,224.79,224.2192,224.2192,38
2025-01-17 16:10:00,224.79,224.79,224.2,224.79,1530811
2025-01-17 16:05:00,224.79,224.79,224.2,224.79,2180
2025-01-17 16:00:00,224.72,224.9,224.21,224.21,3216348
2025-01-17 15:55:00,224.8425,224.845,224.57,224.72,213200
2025-01-17 15:50:00,224.68,224.95,224.45,224.845,62437
2025-01-17 15:45:00,224.9,225.05,224.695,224.695,64299
2025-01-17 15:40:00,224.76,224.934,224.71,224.9,28910
2025-01-17 15:35:00,224.73,224.915,224.72,224.79,27839
2025-01-17 15:30:00,224.7,224.83,224.6015,224.7,30709
2025-01-17 15:25:00,224.805,224.805,224.65,224.68,17991
2025-01-17 15:20:00,224.69,224.805,224.65,224.805,23891
2025-01-17 15:15:00,224.69,224.73,224.6,224.695,217672
